"lb" "ub" "rho"
239501 239600 51.01
364601 364700 0
557701 557800 0
656301 656400 0
875501 875600 0
885701 885800 64.273
1253301 1253400 7.141
1564401 1564500 0
1652901 1653000 2.04
1659201 1659300 52.03
1664301 1664400 55.091
1722501 1722600 5.101
1754401 1754500 2.04
1811801 1811900 0
1811901 1812000 0
1865701 1865800 2.04
1867701 1867800 44.889
1888701 1888800 42.848
1903801 1903900 3.061
1918701 1918800 101
2070101 2070200 0
2070301 2070400 32.646
2093901 2094000 0
2130601 2130700 40.808
2163701 2163800 2.04
2189001 2189100 0
2248001 2248100 55.091
2250001 2250100 1.02
2253701 2253800 0
2265701 2265800 38.768
2320901 2321000 1.02
2323401 2323500 0
2340901 2341000 0
2347401 2347500 0
2350701 2350800 0
2354501 2354600 0
2396301 2396400 0
2399601 2399700 1.02
2480901 2481000 2.04
2497101 2497200 16.323
2515901 2516000 3.061
2551401 2551500 62.232
2554701 2554800 1.02
2564301 2564400 1.02
2567601 2567700 0
2682401 2682500 2.04
2839401 2839500 25.505
2839501 2839600 6.121
2848701 2848800 0
2854401 2854500 7.141
2854501 2854600 14.283
2864701 2864800 7.141
2909501 2909600 16.323
2911201 2911300 0
2913101 2913200 1.02
2914101 2914200 3.061
2920701 2920800 2.04
2926801 2926900 0
2930101 2930200 2.04
2934301 2934400 2.04
2935501 2935600 36.727
2941101 2941200 3.061
2941201 2941300 0
2978801 2978900 15.303
3052301 3052400 0
3055601 3055700 0
3208701 3208800 6.121
3308601 3308700 0
3309401 3309500 0
3312501 3312600 1.02
3351601 3351700 2.04
3390701 3390800 63.253
3636601 3636700 0
3637601 3637700 1.02
3657301 3657400 0
3679201 3679300 2.04
3771201 3771300 0
3781001 3781100 0
3781101 3781200 0
3781301 3781400 2.04
3781801 3781900 14.283
3799701 3799800 0
3801201 3801300 28.566
3812401 3812500 2.04
3812501 3812600 1.02
3814601 3814700 2.04
3842601 3842700 25.505
3872601 3872700 42.848
3872701 3872800 0
3872901 3873000 0
3876301 3876400 3.061
3878401 3878500 10.202
3930001 3930100 7.141
