"lb" "ub" "rho"
81901 82000 0
101401 101500 0
143901 144000 2.04
240801 240900 1.02
248801 248900 2.04
254301 254400 2.04
320201 320300 1.02
377501 377600 6.121
402701 402800 2.04
489901 490000 5.101
502901 503000 7.141
511501 511600 2.04
512601 512700 0
513901 514000 45.909
531901 532000 1.02
533901 534000 4.081
537301 537400 66.313
538701 538800 3.061
542701 542800 2.04
542801 542900 43.869
543401 543500 38.768
544001 544100 7.141
544501 544600 36.727
547801 547900 0
550101 550200 85.697
568401 568500 1.02
568501 568600 5.101
573101 573200 13.263
573301 573400 101
582601 582700 26.525
589001 589100 3.061
589201 589300 6.121
592501 592600 0
599401 599500 2.04
600801 600900 1.02
601901 602000 101
602001 602100 33.667
603201 603300 11.222
603301 603400 33.667
605301 605400 92.838
617101 617200 42.848
617401 617500 0
617601 617700 0
619001 619100 2.04
621601 621700 8.162
623701 623800 26.525
624601 624700 37.747
635501 635600 28.566
643101 643200 15.303
643701 643800 0
647801 647900 10.202
650101 650200 3.061
655101 655200 18.364
657501 657600 2.04
659101 659200 20.404
659901 660000 43.869
662101 662200 3.061
665301 665400 4.081
667001 667100 2.04
668201 668300 25.505
668301 668400 3.061
669101 669200 0
669401 669500 7.141
671201 671300 17.343
671501 671600 5.101
672601 672700 18.364
676401 676500 18.364
680501 680600 3.061
682901 683000 12.242
684501 684600 11.222
686201 686300 7.141
691401 691500 13.263
691701 691800 14.283
692701 692800 25.505
693401 693500 6.121
694201 694300 96.919
696001 696100 39.788
697701 697800 67.333
700501 700600 33.667
701001 701100 0
702401 702500 3.061
704001 704100 18.364
706001 706100 8.162
707401 707500 0
707901 708000 3.061
708001 708100 2.04
708301 708400 40.808
709401 709500 20.404
711001 711100 2.04
711101 711200 6.121
712601 712700 65.293
712801 712900 40.808
714701 714800 5.101
715701 715800 23.465
720901 721000 21.424
722601 722700 26.525
723201 723300 7.141
724101 724200 5.101
724701 724800 1.02
725301 725400 0
725501 725600 13.263
728601 728700 23.465
729901 730000 1.02
731701 731800 57.131
734001 734100 65.293
734501 734600 101
734601 734700 14.283
735101 735200 0
736001 736100 40.808
743401 743500 15.303
744901 745000 47.949
745001 745100 30.606
745901 746000 43.869
746501 746600 18.364
748401 748500 16.323
752701 752800 24.485
754501 754600 61.212
754601 754700 45.909
754701 754800 27.545
754801 754900 81.616
754901 755000 25.505
755401 755500 45.909
757401 757500 3.061
757801 757900 5.101
758001 758100 101
759401 759500 0
759701 759800 26.525
760201 760300 16.323
762001 762100 13.263
