"lb" "ub" "rho"
43701 43800 0
44701 44800 0
49901 50000 1.02
52701 52800 0
52801 52900 1.02
53001 53100 0
57801 57900 0
59401 59500 53.051
59801 59900 1.02
75601 75700 0
79201 79300 0
90401 90500 0
124701 124800 0
134901 135000 0
209901 210000 0
237701 237800 2.04
241201 241300 2.04
263801 263900 3.061
280501 280600 7.141
281701 281800 22.444
313001 313100 1.02
314401 314500 0
338201 338300 0
339101 339200 2.04
344001 344100 0
348101 348200 8.162
357101 357200 0
360201 360300 1.02
364901 365000 58.152
368701 368800 34.687
375201 375300 54.071
394201 394300 32.646
396101 396200 2.04
398301 398400 0
400701 400800 61.212
402201 402300 7.141
402701 402800 0
402901 403000 17.343
403201 403300 84.677
419301 419400 19.384
419901 420000 47.949
427601 427700 1.02
427901 428000 27.545
428401 428500 2.04
430201 430300 3.061
430301 430400 2.04
431101 431200 18.364
431401 431500 49.99
433001 433100 0
440001 440100 51.01
444301 444400 0
446501 446600 0
447801 447900 25.505
454201 454300 28.566
455101 455200 15.303
455701 455800 98.96
473101 473200 74.475
473601 473700 24.485
476301 476400 57.131
476501 476600 101
477601 477700 41.828
478801 478900 40.808
480801 480900 101
482701 482800 25.505
484101 484200 35.707
486001 486100 29.586
486201 486300 35.707
492901 493000 40.808
494601 494700 40.808
497401 497500 53.051
497901 498000 0
504901 505000 72.434
506101 506200 0
506301 506400 43.869
510101 510200 85.697
513001 513100 13.263
520401 520500 53.051
521601 521700 48.97
523001 523100 48.97
523101 523200 25.505
523801 523900 0
530801 530900 4.081
535301 535400 41.828
537901 538000 101
539501 539600 1.02
539701 539800 6.121
540601 540700 53.051
541601 541700 26.525
547801 547900 0
548101 548200 31.626
549301 549400 67.333
550901 551000 1.02
551801 551900 42.848
552901 553000 4.081
553301 553400 0
553401 553500 21.424
559101 559200 10.202
560101 560200 33.667
560401 560500 0
560801 560900 3.061
562801 562900 2.04
565301 565400 87.737
565601 565700 23.465
566401 566500 0
567401 567500 2.04
568401 568500 101
570401 570500 15.303
571901 572000 70.394
572701 572800 42.848
573901 574000 0
575301 575400 26.525
575901 576000 66.313
577201 577300 39.788
583301 583400 98.96
583601 583700 48.97
587601 587700 43.869
587801 587900 61.212
589101 589200 47.949
591201 591300 74.475
592301 592400 101
593201 593300 38.768
595001 595100 49.99
596201 596300 101
596701 596800 101
600901 601000 0
604401 604500 3.061
605301 605400 24.485
605501 605600 37.747
606401 606500 101
607101 607200 42.848
607301 607400 0
607701 607800 0
608501 608600 0
610301 610400 85.697
611601 611700 87.737
625701 625800 41.828
633801 633900 0
634001 634100 53.051
634601 634700 51.01
634701 634800 24.485
636001 636100 14.283
637901 638000 99.98
638701 638800 89.778
640301 640400 41.828
640801 640900 2.04
643901 644000 51.01
645601 645700 61.212
647001 647100 3.061
647101 647200 101
650901 651000 3.061
651101 651200 46.929
652001 652100 56.111
652801 652900 56.111
658501 658600 90.798
659301 659400 78.556
660301 660400 8.162
660601 660700 0
662001 662100 93.859
664501 664600 2.04
665501 665600 68.354
666601 666700 31.626
669301 669400 101
670001 670100 0
671201 671300 51.01
671401 671500 25.505
672101 672200 61.212
673101 673200 101
673601 673700 29.586
673901 674000 74.475
675101 675200 0
675201 675300 90.798
676201 676300 1.02
676501 676600 55.091
677601 677700 48.97
678101 678200 80.596
678201 678300 55.091
678601 678700 36.727
681101 681200 29.586
682001 682100 74.475
682901 683000 39.788
683901 684000 31.626
684201 684300 72.434
684601 684700 45.909
685001 685100 2.04
685801 685900 101
687001 687100 47.949
687601 687700 0
688201 688300 74.475
688701 688800 28.566
690401 690500 2.04
691301 691400 85.697
692001 692100 19.384
692201 692300 30.606
693301 693400 20.404
693501 693600 80.596
694001 694100 36.727
694101 694200 0
695301 695400 32.646
695501 695600 0
695601 695700 2.04
695901 696000 2.04
696201 696300 42.848
699501 699600 24.485
701201 701300 29.586
702601 702700 67.333
703501 703600 0
706401 706500 53.051
708001 708100 39.788
708501 708600 59.172
708901 709000 40.808
709001 709100 51.01
713101 713200 95.899
713201 713300 26.525
714301 714400 47.949
715501 715600 0
715701 715800 74.475
716001 716100 3.061
716101 716200 68.354
717401 717500 101
718001 718100 2.04
718201 718300 70.394
718301 718400 2.04
718501 718600 0
719501 719600 0
720601 720700 3.061
720901 721000 1.02
724701 724800 0
725901 726000 66.313
728001 728100 30.606
728901 729000 0
729201 729300 2.04
730001 730100 66.313
730101 730200 40.808
732001 732100 101
732701 732800 0
733601 733700 101
734001 734100 17.343
737601 737700 101
737701 737800 55.091
738701 738800 38.768
739401 739500 2.04
743901 744000 101
744001 744100 39.788
744601 744700 64.273
746201 746300 42.848
748201 748300 40.808
749501 749600 79.576
749801 749900 45.909
750501 750600 63.253
756701 756800 0
757901 758000 2.04
759401 759500 46.929
760101 760200 0
760401 760500 0
761401 761500 39.788
761801 761900 60.192
762201 762300 101
764301 764400 23.465
764701 764800 28.566
767101 767200 46.929
767201 767300 91.818
767301 767400 0
768001 768100 3.061
769601 769700 4.081
770401 770500 40.808
770801 770900 0
771001 771100 59.172
772301 772400 88.758
774301 774400 46.929
775801 775900 35.707
777101 777200 3.061
778401 778500 99.98
789401 789500 64.273
789501 789600 0
789901 790000 47.949
792501 792600 101
797201 797300 0
799501 799600 53.051
800101 800200 45.909
803301 803400 2.04
803501 803600 46.929
804701 804800 0
804801 804900 13.263
806901 807000 14.283
810101 810200 101
811901 812000 2.04
812001 812100 39.788
813201 813300 2.04
814201 814300 83.657
815901 816000 2.04
816501 816600 101
817801 817900 53.051
818801 818900 82.636
820601 820700 21.424
821901 822000 0
822701 822800 94.879
823101 823200 46.929
