"lb" "ub" "rho"
99201 99300 0
170501 170600 57.131
170601 170700 3.061
181601 181700 33.667
271401 271500 0
276501 276600 9.182
278201 278300 0
289001 289100 0
290201 290300 16.323
301101 301200 8.162
337901 338000 66.313
345301 345400 2.04
349101 349200 0
349301 349400 18.364
370601 370700 0
376901 377000 2.04
388901 389000 0
392501 392600 0
407901 408000 3.061
408201 408300 1.02
419801 419900 16.323
442501 442600 5.101
451201 451300 9.182
478001 478100 4.081
481601 481700 1.02
488401 488500 23.465
494101 494200 17.343
496701 496800 12.242
499401 499500 6.121
500301 500400 3.061
500901 501000 4.081
502301 502400 47.949
514201 514300 0
524401 524500 101
524601 524700 3.061
531401 531500 26.525
535801 535900 7.141
536301 536400 3.061
536601 536700 29.586
539201 539300 99.98
544901 545000 2.04
545801 545900 24.485
546401 546500 22.444
551501 551600 17.343
552701 552800 3.061
555301 555400 2.04
560301 560400 15.303
562601 562700 35.707
563101 563200 20.404
581201 581300 28.566
582201 582300 17.343
587801 587900 31.626
590601 590700 0
591101 591200 22.444
598001 598100 0
599401 599500 28.566
601101 601200 38.768
605401 605500 39.788
605801 605900 16.323
606801 606900 3.061
606901 607000 33.667
607001 607100 14.283
611001 611100 27.545
612301 612400 66.313
613501 613600 40.808
615401 615500 61.212
617601 617700 29.586
619901 620000 29.586
620301 620400 2.04
620401 620500 2.04
620501 620600 96.919
621001 621100 31.626
621201 621300 2.04
621701 621800 46.929
624201 624300 0
632101 632200 28.566
634601 634700 20.404
636401 636500 28.566
655901 656000 33.667
656001 656100 51.01
657501 657600 31.626
673301 673400 27.545
673501 673600 21.424
675401 675500 25.505
677301 677400 43.869
679001 679100 40.808
685501 685600 48.97
688901 689000 51.01
689901 690000 93.859
692601 692700 29.586
693001 693100 29.586
693101 693200 24.485
694401 694500 42.848
695401 695500 19.384
697001 697100 18.364
698501 698600 61.212
698701 698800 48.97
699101 699200 23.465
699201 699300 73.455
700101 700200 36.727
707501 707600 31.626
707901 708000 52.03
713901 714000 89.778
714001 714100 92.838
718301 718400 3.061
719001 719100 17.343
720201 720300 33.667
721501 721600 20.404
721601 721700 22.444
722501 722600 0
722801 722900 77.535
723201 723300 48.97
723401 723500 26.525
723501 723600 62.232
725001 725100 29.586
725701 725800 26.525
726201 726300 57.131
728101 728200 8.162
728601 728700 27.545
729801 729900 49.99
732101 732200 26.525
732801 732900 0
733101 733200 75.495
733301 733400 101
735501 735600 49.99
737601 737700 33.667
739401 739500 47.949
742401 742500 32.646
743101 743200 64.273
744101 744200 88.758
746801 746900 46.929
748001 748100 22.444
748501 748600 101
748601 748700 21.424
748801 748900 101
749101 749200 0
749501 749600 80.596
749901 750000 0
750201 750300 55.091
750301 750400 70.394
750801 750900 73.455
751001 751100 53.051
751601 751700 2.04
752001 752100 83.657
753201 753300 16.323
754801 754900 7.141
755001 755100 58.152
758501 758600 51.01
759001 759100 0
760301 760400 84.677
761201 761300 43.869
763201 763300 65.293
764101 764200 98.96
764501 764600 40.808
766301 766400 0
766501 766600 101
767201 767300 62.232
768401 768500 44.889
769901 770000 13.263
770901 771000 87.737
771001 771100 10.202
771301 771400 2.04
772001 772100 2.04
776201 776300 54.071
779101 779200 71.414
779201 779300 0
779701 779800 80.596
780601 780700 40.808
781301 781400 90.798
781901 782000 92.838
782401 782500 88.758
782701 782800 28.566
783401 783500 90.798
783801 783900 14.283
784001 784100 20.404
784501 784600 25.505
784601 784700 42.848
786501 786600 57.131
787401 787500 12.242
788301 788400 40.808
788801 788900 49.99
789901 790000 42.848
790801 790900 2.04
791601 791700 56.111
792901 793000 42.848
793101 793200 1.02
794801 794900 55.091
795701 795800 0
796201 796300 43.869
796301 796400 17.343
797501 797600 13.263
797801 797900 3.061
799401 799500 68.354
799901 8e+05 29.586
800501 800600 3.061
800701 800800 18.364
800801 800900 33.667
801201 801300 62.232
801901 802000 51.01
803001 803100 101
803201 803300 29.586
805101 805200 20.404
807101 807200 14.283
808501 808600 32.646
810201 810300 0
811601 811700 34.687
812701 812800 21.424
813301 813400 7.141
815901 816000 30.606
816701 816800 69.374
816901 817000 11.222
817701 817800 16.323
817901 818000 55.091
818201 818300 64.273
818301 818400 2.04
819601 819700 79.576
820001 820100 34.687
821101 821200 32.646
823101 823200 30.606
824101 824200 2.04
824201 824300 2.04
824501 824600 3.061
824701 824800 101
824901 825000 15.303
825501 825600 12.242
825601 825700 58.152
826501 826600 62.232
827501 827600 32.646
828101 828200 15.303
829201 829300 17.343
830001 830100 3.061
830601 830700 2.04
831701 831800 54.071
832101 832200 5.101
833301 833400 0
836401 836500 18.364
837001 837100 27.545
849401 849500 0
850101 850200 11.222
852201 852300 101
852801 852900 98.96
853001 853100 27.545
854801 854900 101
855401 855500 23.465
855501 855600 48.97
855701 855800 2.04
856101 856200 33.667
856601 856700 39.788
861001 861100 61.212
861401 861500 68.354
861601 861700 0
861901 862000 0
862001 862100 69.374
866101 866200 68.354
867101 867200 31.626
867401 867500 57.131
868601 868700 85.697
869701 869800 98.96
869801 869900 62.232
871201 871300 32.646
871701 871800 23.465
873001 873100 2.04
873801 873900 0
876401 876500 93.859
876801 876900 37.747
878501 878600 20.404
879301 879400 47.949
880801 880900 4.081
881401 881500 4.081
882101 882200 47.949
884701 884800 25.505
885501 885600 31.626
886201 886300 45.909
886401 886500 3.061
887001 887100 55.091
887201 887300 17.343
887301 887400 42.848
887501 887600 2.04
888501 888600 95.899
888601 888700 0
890001 890100 96.919
890601 890700 36.727
891001 891100 73.455
891101 891200 3.061
891501 891600 0
892001 892100 17.343
892501 892600 85.697
893601 893700 0
894601 894700 3.061
894901 895000 44.889
895801 895900 33.667
896401 896500 0
897401 897500 25.505
898901 899000 2.04
899101 899200 38.768
903301 903400 16.323
904901 905000 11.222
905101 905200 101
907001 907100 83.657
907501 907600 0
908901 909000 68.354
910001 910100 35.707
910501 910600 37.747
910901 911000 35.707
911801 911900 18.364
912701 912800 40.808
913001 913100 82.636
914501 914600 14.283
915001 915100 92.838
915501 915600 51.01
916201 916300 54.071
916701 916800 3.061
917301 917400 0
917501 917600 28.566
917601 917700 12.242
918101 918200 34.687
918201 918300 20.404
918701 918800 0
919901 920000 34.687
920301 920400 99.98
920801 920900 0
920901 921000 101
922301 922400 18.364
923401 923500 0
923901 924000 0
924301 924400 1.02
924801 924900 49.99
925601 925700 32.646
927101 927200 0
927401 927500 101
927801 927900 97.939
927901 928000 52.03
928501 928600 94.879
929101 929200 45.909
930301 930400 89.778
